"","brand","model","year","price","currency","type","fuel","condition","info"
"104","Tesla","Model S Performance",2021,"138,900","US","sedan"," Gasolina "," Usado ","2021 - Gasolina - Usado - 3,000 Km"
"105","Kia","Soluto",2021,"16,900","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"106","Mercedes-Benz","Clase S 500",2021,"214,900","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"107","Mercedes-Benz","Clase S 500L",2021,"195,860","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Km"
"108","Tesla","Model Y Long Range",2021,"103,150","US","sedan"," Electrico "," Nuevo ","2021 - Eléctrico - Nuevo - N/D Km"
"109","Tesla","Model S Performance",2021,"130,000","US","sedan"," Electrico "," Nuevo ","2021 - Eléctrico - Nuevo - 2,910 Km"
"110","Tesla","Model 3 Long Range",2021,"72,400","US","sedan"," Electrico "," Nuevo ","2021 - Eléctrico - Nuevo - N/D Mi"
"111","Nissan","Versa",2021,"20,900","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"112","Mercedes-Benz","Clase E 63s AMG",2021,"205,000","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Km"
"113","Tesla","Model 3",2021,"67,000","US","sedan"," Electrico "," Nuevo ","2021 - Eléctrico - Nuevo - N/D Mi"
"114","Mercedes-Benz","Clase A 35 AMG",2021,"78,900","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Km"
"115","Mercedes-Benz","Clase S 500L",2021,"196,500","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Km"
"116","Tesla","Model Y",2021,"72,000","US","sedan"," Electrico "," Usado ","2021 - Eléctrico - Usado - 9,000 Km"
"117","Tesla","Model Y Long Range",2021,"82,000","US","sedan"," Electrico "," Nuevo ","2021 - Eléctrico - Nuevo - N/D Mi"
"118","Tesla","Model 3 Standard Range Plus",2021,"55,999","US","sedan"," Electrico "," Usado ","2021 - Eléctrico - Usado - 20,500 Km"
"119","Kia","Soluto LX",2021,"16,990","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"120","Kia","Soluto LX",2021,"16,990","US","sedan"," Gasolina "," Nuevo ","2021 - Gasolina - Nuevo - N/D Mi"
"121","Volvo","S90 R Design",2020,"69,900","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - N/D Mi"
"122","Honda","Civic Sport",2020,"23,000","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - N/D Mi"
"123","BMW","Serie 3 340i M",2020,"75,000","US","sedan"," Gasolina "," Usado ","2020 - Gasolina - Usado - 12,350 Km"
