Currency,Price,Year,Brand_Model,Info,Type
US,"10,200",2014,Honda XR 650 L,"2014 - Gasolina - Usado - 2,299 Km",motores
US,"20,000",2014,Polaris Ranger,"2014 - Gasolina - Usado - 9,800 Km",motores
US,"13,500",2014,Can-Am Commander,2014 - Gasolina - Usado - N/D Mi,motores
US,"15,900",2014,Polaris RZR 1000,"2014 - Gasolina - Usado - 4,873 Mi",motores
US,"23,500",2014,BMW GS 1200 R,"2014 - Gasolina - Usado - 4,500 Mi",motores
US,"9,800",2013,Honda XR 650 L,"2013 - Gasolina - Usado - 7,756 Km",motores
US,"11,500",2013,Ducati Monster,2013 - Gasolina - Usado - N/D Mi,motores
US,"24,500",2013,Ducati Diavel,2013 - Gasolina - Usado - N/D Mi,motores
US,"13,900",2012,BMW GS 1200 R,"2012 - Gasolina - Usado - 21,000 Km",motores
RD,"390,000",2009,Honda Shadow,2009 - Gasolina - Usado - N/D Mi,motores
RD,"375,000",2009,Suzuki DRZ,2009 - Gasolina - Usado - N/D Mi,motores
US,"25,000",2009,YAMAHA V-max,"2009 - Gasolina - Usado - 8,200 Km",motores
US,"12,700",2009,Honda Repsol,2009 - Gasolina - Usado - N/D Mi,motores
US,"10,000",2008,Kawasaki Ninja ZX-R 1000,"2008 - Gasolina - Usado - 12,000 Mi",motores
US,"11,000",2008,Suzuki GSX,"2008 - Gasolina - Usado - 5,400 Mi",motores
US,"1,300",2007,Vespa GTV,2007 - Gasolina - Usado - N/D Mi,motores
US,"1,500",2007,Vespa GTV,2007 - Gasolina - Usado - N/D Mi,motores
US,"1,500",2007,Vespa GTV,2007 - Gasolina - Usado - N/D Mi,motores
US,"35,000",2004,Honda VTX 1800,"2004 - Gasolina - Usado - 12,290 Mi",motores
RD,"230,000",2003,Honda VT 1100,2003 - Gasolina - Usado - N/D Mi,motores
US,"9,000",2000,Harley Davidson Softail Fat Boy,2000 - Gasolina - Usado - N/D Mi,motores
US,"7,999",1998,BMW R 1200,1998 - Gasolina - Usado - N/D Mi,motores
